Commit SHA,Author,Date,Commit Message
769fa39871ef76d4369f40dd4dbe2184c1030916,Viatcheslav Ivanov,2021-08-10,[OE-1645] Create QBO integration (#843)
ddb67868d14c9bbb06427cf7163746cc1faa3a57,Svetlana Ivanova,2021-08-09,chore: fix bundle generation related to latest apollo client
c59eeaea817d4791a495357d25777712cd33977c,,2021-08-09,update dependencies (#842)
101408da67182435ff505b1c461721d5ffefe6b9,Isao Kozakai,2021-08-06,[OE-1366] Add label (#841)
a1d2d366dc084ba1f2b9e24098e231b81fb832dc,Isao Kozakai,2021-08-06,[OE-1366] As vendor I want to see a list of PO invoices on PO dashboard (#839)
d4420a82285201a97164fd7e54e5a69647830491,Isao Kozakai,2021-08-06,Make all the components for status in PO dashboard use Chip component (#840)
a1f74b0b7713beeb53fa9a9b5f4c3aa07d1e6c7b,Svetlana Ivanova,2021-08-05,[OE-1665] Prod-> Active PO Shipment Strategies: Newly created shipping accounts not showing when user adds a new shipment.
9164a08c48a1a80ae19b0036be29741af78138eb,Svetlana Ivanova,2021-08-04,[OE-1705] Update subscriptions and plans according to new strategic plan
4d51cc8b469898f5bc443182c4841029e0d75474,Svetlana Ivanova,2021-08-04,[OE-1665] Prod-> Active PO Shipment Strategies: Newly created shipping accounts not showing when user adds a new shipment.
966b5763c3917677bdea2a233a867f9518f3b89a,Svetlana Ivanova,2021-08-03,[OE-1567] Dashboard page is showing legacy orders instead of POs
7f0da5230e78e1909a1bf027773b806c4bc81561,Svetlana Ivanova,2021-08-03,[OE-1671] Cant Edit Company information in settings
ab19824c790710b5f59754e8edb70e95f8c5eb90,Svetlana Ivanova,2021-08-03,[OE-1644] Demo Production Runs Dashboard-> Styling issue lines missing from each production run
018b6304071bd57d1e8a2079f32e562a43e6f682,,2021-08-03,update dependencies (#838)
55d1e8458254921898a37c438ee742d0992ea974,Svetlana Ivanova,2021-07-31,[OE-1656] As user I want to see a total amount of all Active POs in Active Order Widget
858bfb8157b3837d2f65491dff29c68a54796ae1,Svetlana Ivanova,2021-07-29,[OE-1654] As user I want to see a total of actionable In Review POs in Active Order Widget
e22a41d290e268c0b09ee1b5bcbe70f7a70167b6,Svetlana Ivanova,2021-07-29,[OE-1655] Change active orders widget according to design
1548237fc477994550021b7c0e0a67a302df0410,Svetlana Ivanova,2021-07-28,[OE-1653] As user I want to see a total of In Review POs in Active Order Widget
f6a0a1414f4576a6b017c7f34e4fc93e574e0054,Svetlana Ivanova,2021-07-27,[OE-1632] Fix sharing section is not showing for product owner
c657aa1b7e8773b7990c5f5b4107796b8d55dbde,Svetlana Ivanova,2021-07-27,[OE-1652] Fix bottom left label color
